FlightNumber,Date,BoosterVersion,LaunchSite,Payload,PayloadMass,Orbit,Customer,MissionOutcome,LandingOutcome,SiteGroup
23,2016-04-08,F9 FT B1021.1,"Cape Canaveral , LC-40",SpaceX CRS-8 (Dragon C110.1),3136.0,LEO ( ISS ),NASA ( CRS ),Success,Success (drone ship),Cape Canaveral LC-40
24,2016-05-06,F9 FT B1022.1,"Cape Canaveral , LC-40",JCSAT-14,4696.0,GTO,SKY Perfect JSAT Group,Success,Success (drone ship),Cape Canaveral LC-40
25,2016-05-27,F9 FT B1023.1,"Cape Canaveral , LC-40",Thaicom 8,3100.0,GTO,Thaicom,Success,Success (drone ship),Cape Canaveral LC-40
26,2016-06-15,F9 FT B1024.1,"Cape Canaveral , LC-40",ABS-2A Eutelsat 117 West B,3600.0,GTO,ABS Eutelsat,Success,Failure (drone ship),Cape Canaveral LC-40
27,2016-07-18,F9 FT B1025.1,"Cape Canaveral , LC-40",SpaceX CRS-9 (Dragon C111.1),2257.0,LEO ( ISS ),NASA ( CRS ),Success,Success (ground pad),Cape Canaveral LC-40
28,2016-08-14,F9 FT B1026.1,"Cape Canaveral , LC-40",JCSAT-16,4600.0,GTO,SKY Perfect JSAT Group,Success,Success (drone ship),Cape Canaveral LC-40
29,2017-01-14,F9 FT B1029.1,"VAFB , SLC-4E",Iridium NEXT -1 (10 satellites),9600.0,Polar LEO,Iridium Communications,Success,Success (drone ship),VAFB SLC-4E
30,2017-02-19,F9 FT B1031.1,"KSC , LC-39A",SpaceX CRS-10 (Dragon C112.1),2490.0,LEO ( ISS ),NASA ( CRS ),Success,Success (ground pad),KSC LC-39A
31,2017-03-16,F9 FT B1030.1,"KSC , LC-39A",EchoStar 23,5600.0,GTO,EchoStar,Success,No attempt,KSC LC-39A
32,2017-03-30,F9 FT ♺ B1021.2,"KSC , LC-39A",SES-10,5300.0,GTO,SES,Success,Success (drone ship),KSC LC-39A
33,2017-05-01,F9 FT B1032.1,"KSC , LC-39A",NROL-76,,LEO,NRO,Success,Success (ground pad),KSC LC-39A
34,2017-05-15,F9 FT B1034.1,"KSC , LC-39A",Inmarsat-5 F4,6070.0,GTO,Inmarsat,Success,No attempt,KSC LC-39A
35,2017-06-03,F9 FT B1035.1,"KSC , LC-39A",SpaceX CRS-11 (Dragon C106.2 ♺),2708.0,LEO ( ISS ),NASA ( CRS ),Success,Success (ground pad),KSC LC-39A
36,2017-06-23,F9 FT ♺ B1029.2,"KSC , LC-39A",BulgariaSat-1,3669.0,GTO,Bulsatcom,Success,Success (drone ship),KSC LC-39A
37,2017-06-25,F9 FT B1036.1,"VAFB , SLC-4E",Iridium NEXT -2 (10 satellites),9600.0,LEO,Iridium Communications,Success,Success (drone ship),VAFB SLC-4E
38,2017-07-05,F9 FT B1037.1,"KSC , LC-39A",Intelsat 35e,6761.0,GTO,Intelsat,Success,No attempt,KSC LC-39A
39,2017-08-14,F9 B4 B1039.1,"KSC , LC-39A",SpaceX CRS-12 (Dragon C113.1),3310.0,LEO ( ISS ),NASA ( CRS ),Success,Success (ground pad),KSC LC-39A
40,2017-08-24,F9 FT B1038.1,"VAFB , SLC-4E",Formosat-5,475.0,SSO,NSPO,Success,Success (drone ship),VAFB SLC-4E
41,2017-09-07,F9 B4 B1040.1,"KSC , LC-39A",Boeing X-37B OTV-5,4990.0,LEO,USAF,Success,Success (ground pad),KSC LC-39A
42,2017-10-09,F9 B4 B1041.1,"VAFB , SLC-4E",Iridium NEXT -3 (10 satellites),9600.0,Polar LEO,Iridium Communications,Success,Success (drone ship),VAFB SLC-4E
43,2017-10-11,F9 FT ♺ B1031.2,"KSC , LC-39A",SES-11 / EchoStar 105,5200.0,GTO,SES S.A. EchoStar,Success,Success (drone ship),KSC LC-39A
